source,target,type
doc:docs/guides/evals,roadmap:001,documents
doc:docs/guides/function-calling,roadmap:001,documents
doc:docs/guides/structured-outputs,roadmap:001,documents
doc:docs/master/filters.md,roadmap:001,documents
doc:docs/master/rest-api.md,roadmap:001,documents
doc:docs/master/web-socket-streams.md,roadmap:001,documents
doc:docs/models,roadmap:001,documents
roadmap:001,roadmap:002,follows_on
roadmap:002,module:src/binance_spot_bot/runtime.py,implements
roadmap:002,module:src/binance_spot_bot/ui/charts.py,implements
roadmap:002,module:src/binance_spot_bot/ui/state.py,implements
roadmap:002,module:src/binance_spot_bot/ui/streamlit_app.py,implements
doc:docs/local-dashboard.md,roadmap:002,documents
doc:docs/master/web-socket-streams.md,roadmap:002,documents
roadmap:001,roadmap:003,follows_on
roadmap:002,roadmap:003,follows_on
roadmap:003,module:src/binance_spot_bot/data_quality.py,implements
roadmap:003,module:src/binance_spot_bot/evaluation.py,implements
roadmap:003,module:src/binance_spot_bot/market_stream.py,implements
roadmap:003,module:src/binance_spot_bot/model_registry.py,implements
roadmap:003,module:src/binance_spot_bot/orderbook.py,implements
roadmap:003,module:src/binance_spot_bot/session_store.py,implements
doc:docs/latest/ml/model-registry/workflow/,roadmap:003,documents
doc:docs/master/user-data-stream.md,roadmap:003,documents
doc:docs/master/web-socket-streams.md,roadmap:003,documents
roadmap:001,roadmap:004,follows_on
roadmap:002,roadmap:004,follows_on
roadmap:003,roadmap:004,follows_on
roadmap:004,module:src/binance_spot_bot/order_lifecycle.py,implements
roadmap:004,module:src/binance_spot_bot/settings_store.py,implements
roadmap:004,module:src/binance_spot_bot/user_data_stream.py,implements
doc:docs/api-reference/evals,roadmap:004,documents
doc:docs/api-reference/responses,roadmap:004,documents
doc:docs/guides/structured-outputs,roadmap:004,documents
doc:docs/master/rest-api.md,roadmap:004,documents
doc:docs/master/user-data-stream.md,roadmap:004,documents
doc:docs/master/web-socket-streams.md,roadmap:004,documents
doc:docs/settings/logs,roadmap:004,documents
roadmap:001,roadmap:005,follows_on
roadmap:002,roadmap:005,follows_on
roadmap:003,roadmap:005,follows_on
roadmap:004,roadmap:005,follows_on
roadmap:005,module:src/binance\_spot\_bot/alerts.py,implements
roadmap:005,module:src/binance\_spot\_bot/model\_promotion.py,implements
roadmap:005,module:src/binance\_spot\_bot/paper\_accounting.py,implements
roadmap:005,module:src/binance\_spot\_bot/session\_report.py,implements
roadmap:005,module:src/binance\_spot\_bot/training.py,implements
doc:docs/alerts-watchdog.md,roadmap:005,documents
doc:docs/incident-runbook.md,roadmap:005,documents
doc:docs/local-dashboard.md,roadmap:005,documents
doc:docs/long-paper-sessions.md,roadmap:005,documents
doc:docs/model-training-promotion.md,roadmap:005,documents
doc:docs/order-reconciliation.md,roadmap:005,documents
doc:docs/preflight.md,roadmap:005,documents
doc:docs/session-reports.md,roadmap:005,documents
doc:docs/testnet-order-placement.md,roadmap:005,documents
doc:docs/watchlist-scanner.md,roadmap:005,documents
doc:docs/windows-portable.md,roadmap:005,documents
roadmap:001,roadmap:006,follows_on
roadmap:002,roadmap:006,follows_on
roadmap:003,roadmap:006,follows_on
roadmap:004,roadmap:006,follows_on
roadmap:005,roadmap:006,follows_on
roadmap:006,module:src/binance\_spot\_bot/portfolio.py,implements
test:tests/test\_alert\_sinks.py,roadmap:006,validates
test:tests/test\_live\_readiness\_audit\_prep.py,roadmap:006,validates
test:tests/test\_modelops\_lineage.py,roadmap:006,validates
test:tests/test\_portfolio.py,roadmap:006,validates
test:tests/test\_portfolio\_paper\_runtime.py,roadmap:006,validates
test:tests/test\_portfolio\_risk.py,roadmap:006,validates
test:tests/test\_research\_dataset\_builder.py,roadmap:006,validates
test:tests/test\_testnet\_endurance.py,roadmap:006,validates
doc:docs/external-alerts.md,roadmap:006,documents
doc:docs/live-readiness-audit-prep.md,roadmap:006,documents
doc:docs/modelops-lineage.md,roadmap:006,documents
doc:docs/portfolio-paper-trading.md,roadmap:006,documents
doc:docs/portfolio-risk.md,roadmap:006,documents
doc:docs/research-from-session-reports.md,roadmap:006,documents
doc:docs/roadmap-005-results-summary.md,roadmap:006,documents
doc:docs/testnet-endurance.md,roadmap:006,documents
roadmap:001,roadmap:007,follows_on
roadmap:002,roadmap:007,follows_on
roadmap:003,roadmap:007,follows_on
roadmap:004,roadmap:007,follows_on
roadmap:005,roadmap:007,follows_on
roadmap:007,roadmap:007,follows_on
roadmap:007,module:src/binance\_spot\_bot/chaos.py,implements
roadmap:007,module:src/binance\_spot\_bot/comparison.py,implements
roadmap:007,module:src/binance\_spot\_bot/drills.py,implements
roadmap:007,module:src/binance\_spot\_bot/evidence.py,implements
roadmap:007,module:src/binance\_spot\_bot/model\_card.py,implements
roadmap:007,module:src/binance\_spot\_bot/readiness.py,implements
roadmap:007,module:src/binance\_spot\_bot/release\_governance.py,implements
roadmap:007,module:src/binance\_spot\_bot/security\_audit.py,implements
roadmap:007,module:src/binance\_spot\_bot/shadow.py,implements
roadmap:007,module:src/binance\_spot\_bot/shadow\_ledger.py,implements
roadmap:007,module:src/binance\_spot\_bot/slo.py,implements
test:tests/test\_chaos.py,roadmap:007,validates
test:tests/test\_drills.py,roadmap:007,validates
test:tests/test\_evidence\_vault.py,roadmap:007,validates
test:tests/test\_model\_card.py,roadmap:007,validates
test:tests/test\_readiness.py,roadmap:007,validates
test:tests/test\_release\_governance.py,roadmap:007,validates
test:tests/test\_security\_audit\_pack.py,roadmap:007,validates
test:tests/test\_shadow\_ledger.py,roadmap:007,validates
test:tests/test\_shadow\_mode.py,roadmap:007,validates
test:tests/test\_shadow\_paper\_testnet\_comparison.py,roadmap:007,validates
test:tests/test\_slo\_report.py,roadmap:007,validates
doc:docs/chaos-testing.md,roadmap:007,documents
doc:docs/evidence-vault.md,roadmap:007,documents
doc:docs/model-risk-governance.md,roadmap:007,documents
doc:docs/observability-slo.md,roadmap:007,documents
doc:docs/operator-drills.md,roadmap:007,documents
doc:docs/readiness-scorecard.md,roadmap:007,documents
doc:docs/release-governance.md,roadmap:007,documents
doc:docs/roadmap-005-006-results-summary.md,roadmap:007,documents
doc:docs/runbooks/incident-export.md,roadmap:007,documents
doc:docs/runbooks/kill-switch.md,roadmap:007,documents
doc:docs/runbooks/model-rollback.md,roadmap:007,documents
doc:docs/runbooks/release-verify.md,roadmap:007,documents
doc:docs/runbooks/secret-rotation.md,roadmap:007,documents
doc:docs/runbooks/testnet-cancel.md,roadmap:007,documents
doc:docs/security-audit-pack.md,roadmap:007,documents
doc:docs/shadow-mode.md,roadmap:007,documents
doc:docs/shadow-paper-testnet-comparison.md,roadmap:007,documents
roadmap:001,roadmap:008,follows_on
roadmap:002,roadmap:008,follows_on
roadmap:003,roadmap:008,follows_on
roadmap:004,roadmap:008,follows_on
roadmap:005,roadmap:008,follows_on
roadmap:008,roadmap:008,follows_on
roadmap:008,module:src/binance\_spot\_bot/live\_dry\_run.py,implements
roadmap:008,module:src/binance\_spot\_bot/live\_policy.py,implements
roadmap:008,module:src/binance\_spot\_bot/no\_go.py,implements
roadmap:008,module:src/binance\_spot\_bot/operator\_heartbeat.py,implements
roadmap:008,module:src/binance\_spot\_bot/pilot\_simulation.py,implements
test:tests/test\_live\_dry\_run.py,roadmap:008,validates
test:tests/test\_live\_policy.py,roadmap:008,validates
test:tests/test\_no\_go.py,roadmap:008,validates
test:tests/test\_operator\_heartbeat.py,roadmap:008,validates
test:tests/test\_pilot\_simulation.py,roadmap:008,validates
doc:docs/live-account-safety-checklist.md,roadmap:008,documents
doc:docs/live-dry-run-mode.md,roadmap:008,documents
doc:docs/live-pilot-dashboard-design.md,roadmap:008,documents
doc:docs/live-pilot-evidence-gate.md,roadmap:008,documents
doc:docs/live-pilot-manual-approval.md,roadmap:008,documents
doc:docs/live-pilot-no-go-criteria.md,roadmap:008,documents
doc:docs/live-pilot-policy.md,roadmap:008,documents
doc:docs/live-pilot-risk-notice.md,roadmap:008,documents
doc:docs/live-pilot-simulation.md,roadmap:008,documents
doc:docs/live-pilot-stop-rollback.md,roadmap:008,documents
doc:docs/micro-pilot-execution-design.md,roadmap:008,documents
doc:docs/operator-heartbeat.md,roadmap:008,documents
doc:docs/roadmap-009-decision-gate.md,roadmap:008,documents
doc:docs/two-person-rule.md,roadmap:008,documents
roadmap:001,roadmap:009,follows_on
roadmap:002,roadmap:009,follows_on
roadmap:003,roadmap:009,follows_on
roadmap:004,roadmap:009,follows_on
roadmap:005,roadmap:009,follows_on
roadmap:009,roadmap:009,follows_on
roadmap:009,module:src/binance\_spot\_bot/cli.py,implements
roadmap:009,module:src/binance\_spot\_bot/control\_center.py,implements
roadmap:009,module:src/binance\_spot\_bot/dashboard\_state.py,implements
roadmap:009,module:src/binance\_spot\_bot/exchange\_profiles.py,implements
roadmap:009,module:src/binance\_spot\_bot/execution.py,implements
roadmap:009,module:src/binance\_spot\_bot/launcher.py,implements
roadmap:009,module:src/binance\_spot\_bot/manual\_demo\_trading.py,implements
roadmap:009,module:src/binance\_spot\_bot/runtime.py,implements
roadmap:009,module:src/binance\_spot\_bot/spot\_preview.py,implements
roadmap:009,module:src/binance\_spot\_bot/ui/demo\_trading.py,implements
roadmap:009,module:src/binance\_spot\_bot/ui/errors.py,implements
roadmap:009,module:src/binance\_spot\_bot/ui/i18n.py,implements
roadmap:009,module:src/binance\_spot\_bot/ui/order\_tables.py,implements
roadmap:009,module:src/binance\_spot\_bot/ui/streamlit\_app.py,implements
roadmap:009,module:src/binance\_spot\_bot/ui/wizard.py,implements
test:tests/test\_control\_center.py,roadmap:009,validates
test:tests/test\_dashboard\_errors.py,roadmap:009,validates
test:tests/test\_dashboard\_state.py,roadmap:009,validates
test:tests/test\_first\_run\_wizard.py,roadmap:009,validates
test:tests/test\_manual\_demo\_trading.py,roadmap:009,validates
test:tests/test\_no\_live\_dashboard\_actions.py,roadmap:009,validates
